促销销售金额总和,非促销销售金额总和
70.9,727.3
673.5,1974.4
2935.72,9844.55
77.3,1753.3999999999999
117.9,28.0
26.700000000000003,429.9
2481.4,3348.4
46.400000000000006,640.9
75.60000000000001,367.90000000000003
263.0,1592.3
184.1,546.9
547.49,1083.33
266.9,854.1
17.9,125.3
5524.7,5775.7
1785.2,952.3000000000001
844.8000000000001,2844.0
5.8,56.5
2.5,755.1999999999999
19.9,47.0
29.9,251.1
878.49,3700.45
23.9,357.8
1304.5,3301.4
662.09,5143.62
9.8,233.0
37.7,474.6
761.4,3974.0
117.80000000000001,2148.2
171.3,794.8000000000001
486.8,2170.0
8816.5,11835.0
154.8,15.0
19.9,224.9
925.4,668.16
243.29999999999998,
179.5,
60.6,732.3
49.0,62.0
62.300000000000004,368.3
34.8,
185.8,1556.8999999999999
14.8,704.4
25.0,76.0
39.6,73.9
566.42,4134.06
24896.5,13895.2
2334.0,1688.1
302.09999999999997,
186.0,1030.7
186.1,272.9
55.300000000000004,544.5
228.9,3793.43
74.8,101.9
47.5,70.0
88.1,1064.04
556.9,3788.1
27.700000000000003,109.5
95.7,601.8
63.400000000000006,390.0
287.6,109.0
856.6999999999999,4015.5
156.0,1164.5
2668.2,2668.5
364.5,1369.2
1457.6,5545.5
372.0,1602.6
2834.3,6013.68
264.12,2262.21
7.8,167.0
18.9,58.6
177.6,693.7
33.6,344.3
34.8,
50.4,2457.7
87.6,779.0
7.9,28.0
49.9,
2.9,325.2
27.6,211.0
7663.33,5779.26
680.82,4342.76
510.20000000000005,459.40000000000003
8384.7,2037.7
492.9,3544.2
12.0,331.6
4566.96,5844.76
75.4,21.0
7.9,127.2
46.1,202.3
153.0,2200.9
131.8,13265.92
979.1999999999999,1419.2
1350.16,3730.56
36.9,671.6
546.9,2759.8
76.1,2742.15
59.5,858.0
286.3,3385.4
182.7,732.6
712.8,1181.2
51.0,899.9
21.0,426.8
99.0,
155.4,2271.95
12.9,175.20000000000002
7950.3,5163.6
2844.42,9909.23
9.9,56.0
